doc_id	turns	utf8_bytes	tokens	supervised
0	2	608	132	123
1	2	798	178	170
2	2	1299	324	315
3	2	1061	213	205
4	2	780	155	139
5	2	877	203	181
6	2	496	149	128
7	2	1334	304	279
8	2	716	183	168
9	2	579	200	181
10	2	54	17	8
11	2	1077	321	303
12	2	1079	260	250
13	2	132	51	21
14	2	1330	312	297
15	2	1097	285	275
16	2	1152	238	223
17	2	1384	284	274
18	2	81	31	15
19	2	452	149	140
20	2	1242	321	305
21	2	147	61	53
22	2	204	54	35
23	2	526	162	151
24	2	920	290	277
25	2	451	144	134
26	2	1224	366	350
27	2	440	139	121
28	2	1095	279	269
29	2	248	111	98
30	2	987	236	222
31	2	1113	252	239
32	2	192	58	44
33	2	171	45	13
34	2	531	145	121
35	2	377	85	32
36	2	403	100	88
37	2	424	144	132
38	2	109	37	18
39	2	748	185	170
40	2	639	194	174
41	2	600	104	89
42	2	421	87	78
43	2	1218	261	249
44	2	103	28	20
45	2	123	31	21
46	2	165	54	16
47	2	278	103	91
48	2	181	62	44
49	2	89	33	12
50	2	419	140	121
51	2	506	166	147
52	2	597	155	146
53	2	120	42	12
54	2	260	72	63
55	2	46	24	11
56	2	392	137	120
57	2	186	78	64
58	2	273	85	54
59	2	389	117	98
60	2	1071	259	241
61	2	192	43	33
62	2	160	35	25
63	2	372	103	86
64	2	1303	244	224
65	2	135	42	33
66	2	1030	259	246
67	2	259	67	56
68	2	222	58	40
69	2	79	32	16
70	2	72	22	11
71	2	431	103	95
72	2	1358	290	277
73	2	144	36	14
74	2	531	106	78
75	2	879	196	181
76	2	1172	345	325
77	2	883	221	211
78	2	1321	271	260
79	2	615	120	107
80	2	929	205	194
81	2	1337	380	353
82	2	359	121	92
83	2	484	127	103
84	2	1522	333	321
85	2	126	36	11
86	2	767	173	148
87	2	990	196	186
88	2	987	405	394
89	2	157	79	62
90	2	850	167	158
91	2	207	65	45
92	2	72	28	16
93	2	888	224	213
94	2	208	81	49
95	2	42	20	9
96	2	1357	271	261
97	2	468	96	84
98	2	213	41	31
99	2	360	138	128
100	2	125	47	28
101	2	199	52	41
102	2	129	24	12
103	2	123	31	17
104	2	246	59	33
105	2	86	27	16
106	2	45	20	9
107	2	150	34	23
108	2	189	39	30
109	2	1072	296	287
110	2	156	32	24
111	2	388	104	87
112	2	618	174	65
113	2	220	78	63
114	2	153	31	15
115	2	210	74	55
116	2	419	115	93
117	2	370	83	61
118	2	153	36	28
119	2	405	111	98
120	2	103	27	18
121	2	429	209	187
122	2	123	49	32
123	2	252	68	51
124	2	289	76	40
125	2	81	21	11
126	2	138	33	21
127	2	455	144	130
128	2	264	102	83
129	2	862	206	182
130	2	130	33	23
131	2	279	60	46
132	2	507	132	102
133	2	200	42	30
134	2	535	139	124
135	2	338	75	60
136	2	89	45	12
137	2	691	158	147
138	2	1522	399	390
139	2	852	266	235
140	2	955	234	215
141	2	801	214	174
142	2	389	127	95
143	2	501	194	158
144	2	1305	332	311
145	2	1441	460	415
146	2	945	385	349
147	2	1459	348	331
148	2	1301	399	388
149	2	1262	286	273
150	2	616	189	173
151	2	156	32	25
152	2	1167	240	226
153	2	1069	252	241
154	2	185	44	31
155	2	203	68	55
156	2	645	160	146
157	2	464	114	78
158	2	180	61	24
159	2	535	181	170
160	2	378	100	91
161	2	1186	336	304
162	2	165	47	24
163	2	1217	263	252
164	2	118	28	7
165	2	191	65	24
166	2	119	33	15
167	2	117	32	21
168	2	391	110	90
169	2	497	117	105
170	2	102	27	12
171	2	179	44	7
172	2	84	24	14
173	2	672	177	161
174	2	284	63	53
175	2	326	77	62
176	2	136	47	17
177	2	192	45	34
178	2	552	132	123
179	2	778	161	152
180	2	701	228	196
181	2	830	240	220
182	2	420	112	89
183	2	1159	257	246
184	2	258	82	65
185	2	1154	270	255
186	2	451	155	136
187	2	66	21	12
188	2	1279	317	302
189	2	1029	233	220
190	2	1245	253	245
191	2	245	78	66
192	2	728	208	200
193	2	524	165	146
194	2	301	91	77
195	2	1269	352	324
196	2	459	113	88
197	2	780	138	126
198	2	198	52	39
199	2	1129	240	226
200	2	339	98	70
201	2	241	65	54
202	2	53	28	19
203	2	1474	307	296
204	2	1144	274	265
205	2	99	35	22
206	2	144	45	32
207	2	125	47	29
208	2	474	106	96
209	2	934	271	259
210	2	1043	198	189
211	2	187	43	22
212	2	241	63	52
213	2	120	46	19
214	2	733	176	167
215	2	306	64	54
216	2	126	47	35
217	2	220	42	22
218	2	768	328	312
219	2	1070	294	279
220	2	129	35	25
221	2	724	192	182
222	2	99	27	12
223	2	852	236	224
224	2	849	208	199
225	2	83	33	18
226	2	166	63	52
227	2	350	141	123
228	2	459	127	115
229	2	294	76	59
230	2	106	32	10
231	2	841	242	231
232	2	603	128	106
233	2	487	136	125
234	2	1207	371	354
235	2	1290	385	359
236	2	1072	255	238
237	2	1235	343	330
238	2	189	62	49
239	2	242	101	79
240	2	1183	379	354
241	2	693	201	189
242	2	330	73	64
243	2	1163	346	329
244	2	1062	221	206
245	2	1143	271	251
246	2	83	33	21
247	2	304	89	67
248	2	1174	335	319
249	2	158	41	28
250	2	93	26	13
251	2	388	103	80
252	2	1082	262	250
253	2	1200	229	217
254	2	642	127	118
255	2	264	72	58
256	2	897	248	226
257	2	870	206	119
258	2	528	183	153
259	2	270	80	70
260	2	90	38	20
261	2	389	110	25
262	2	64	26	13
263	2	675	240	227
264	2	91	42	13
265	2	294	57	39
266	2	56	20	5
267	2	1066	296	275
268	2	111	30	19
269	2	174	33	22
270	2	219	90	48
271	2	480	96	87
272	2	129	43	18
273	2	240	120	100
274	2	391	115	97
275	2	1168	351	337
276	2	246	45	37
277	2	476	154	137
278	2	171	53	35
279	2	777	187	176
280	2	1154	335	316
281	2	220	85	56
282	2	101	39	21
283	2	1051	232	216
284	2	181	56	41
285	2	541	148	129
286	2	1258	360	336
287	2	1209	204	194
288	2	496	123	109
289	2	859	203	192
290	2	1155	342	331
291	2	549	105	96
292	2	951	182	168
293	2	80	27	13
294	2	480	177	164
295	2	1201	292	282
296	2	583	130	119
297	2	967	200	189
298	2	925	228	214
299	2	1053	223	213
300	2	1442	284	251
301	2	109	28	16
302	2	292	88	53
303	2	1006	213	194
304	2	132	44	17
305	2	233	46	26
306	2	1177	261	254
307	2	545	133	69
308	2	1008	179	166
309	2	147	39	20
310	2	517	139	57
311	2	135	45	32
312	2	944	218	206
313	2	377	115	97
314	2	1001	316	303
315	2	1468	319	307
316	2	1024	320	303
317	2	553	123	111
318	2	1285	240	225
319	2	1088	195	182
320	2	1294	247	239
321	2	1224	330	312
322	2	366	100	85
323	2	1183	314	297
324	2	998	276	261
325	2	1146	213	205
326	2	191	53	10
327	2	587	163	89
328	2	1487	370	332
329	2	525	113	99
330	2	243	60	15
331	2	618	173	160
332	2	632	140	112
333	2	1423	307	288
334	2	171	49	31
335	2	824	235	215
336	2	309	74	62
337	2	286	82	35
338	2	292	70	32
339	2	175	51	22
340	2	101	35	16
341	2	912	189	177
342	2	133	30	12
343	2	300	62	41
344	2	216	46	38
345	2	952	199	190
346	2	738	248	237
347	2	75	25	8
348	2	1031	214	201
349	2	617	154	144
350	2	530	158	128
351	2	749	142	131
352	2	94	35	26
353	2	699	209	198
354	2	422	101	73
355	2	110	68	49
356	2	1010	229	219
357	2	456	126	109
358	2	1203	326	311
359	2	268	77	54
360	2	393	112	97
361	2	1069	235	222
362	2	815	183	173
363	2	971	253	239
364	2	881	201	190
365	2	474	120	112
366	2	349	76	56
367	2	119	28	17
368	2	92	38	19
369	2	468	100	67
370	2	252	66	55
371	2	321	87	76
372	2	61	21	7
373	2	60	29	11
374	2	107	35	20
375	2	1388	307	298
376	2	125	43	20
377	2	45	24	11
378	2	96	28	15
379	2	1253	251	241
380	2	1194	248	234
381	2	181	42	29
382	2	232	72	63
383	2	127	43	20
384	2	260	87	71
385	2	163	53	44
386	2	296	76	63
387	2	484	111	100
388	2	183	43	34
389	2	522	139	129
390	2	1126	284	274
391	2	1122	329	313
392	2	1203	262	248
393	2	1170	253	244
394	2	959	303	290
395	2	1285	239	229
396	2	1151	275	262
397	2	1177	244	234
398	2	1238	274	258
399	2	1182	250	239
400	2	925	201	190
401	2	1250	348	338
402	2	208	60	39
403	2	75	24	7
404	2	312	73	59
405	2	177	54	38
406	2	95	26	3
407	2	273	59	39
408	2	36	15	5
409	2	1157	329	312
410	2	1134	319	301
411	2	733	228	216
412	2	840	245	233
413	2	1340	364	322
414	2	1150	299	288
415	2	995	254	243
416	2	419	124	111
417	2	206	59	18
418	2	1056	269	255
419	2	1351	337	320
420	2	1128	247	234
421	2	169	70	52
422	2	996	290	279
423	2	1110	249	241
424	2	144	39	22
425	2	121	34	20
426	2	195	62	36
427	2	977	226	216
428	2	1201	308	297
429	2	173	58	41
430	2	757	229	217
431	2	590	175	161
432	2	1228	279	261
433	2	481	120	105
434	2	868	255	244
435	2	1351	269	252
436	2	158	55	40
437	2	1513	359	345
438	2	459	129	110
439	2	1206	258	243
440	2	1273	299	285
441	2	1202	233	222
442	2	358	76	30
443	2	1083	347	334
444	2	1529	368	357
445	2	483	92	79
446	2	1528	325	310
447	2	178	54	42
448	2	1049	254	232
449	2	706	236	224
450	2	420	84	70
451	2	328	80	51
452	2	1150	259	249
453	2	640	171	154
454	2	1168	221	202
455	2	494	170	148
456	2	124	33	10
457	2	189	68	55
458	2	854	208	195
459	2	803	249	236
460	2	166	58	42
461	2	431	125	108
462	2	92	38	25
463	2	1008	248	237
464	2	240	57	46
465	2	414	113	104
466	2	253	75	61
467	2	1187	339	317
468	2	309	75	49
469	2	271	68	52
470	2	1130	223	212
471	2	234	64	53
472	2	354	100	81
473	2	1179	280	265
474	2	1150	198	188
475	2	877	190	178
