doc_id	turns	utf8_bytes	tokens	supervised
0	4	93	26	9
1	4	105	31	8
2	4	87	22	7
3	4	105	29	8
4	4	87	22	7
5	4	93	34	13
6	4	96	27	7
7	4	87	26	9
8	4	99	30	7
9	4	105	29	8
10	4	96	19	5
11	4	93	28	10
12	4	99	29	7
13	4	96	21	6
14	4	87	24	8
15	4	105	29	8
16	4	105	36	10
17	4	93	28	10
18	4	99	27	7
19	4	87	22	7
20	4	105	30	7
21	4	93	24	8
22	4	87	26	9
23	4	87	24	8
24	4	96	24	6
25	4	93	24	8
26	4	105	23	6
27	4	87	24	8
28	4	96	23	5
29	4	102	28	8
30	4	87	22	7
31	4	96	28	8
32	4	93	26	9
33	4	99	31	7
34	4	99	27	6
35	4	96	23	6
36	4	96	22	5
37	4	105	34	11
38	4	99	31	7
39	4	93	24	8
40	4	93	28	10
41	4	93	26	9
42	4	102	23	7
43	4	93	24	8
44	4	99	28	7
45	4	87	26	9
46	4	105	29	8
47	4	93	26	9
48	4	96	20	6
49	4	105	31	8
50	4	105	35	10
51	4	102	30	9
52	4	87	22	7
53	4	96	19	5
54	4	102	25	8
55	4	96	20	6
56	4	105	29	7
57	4	87	28	10
58	4	93	28	10
59	4	105	24	7
60	4	96	19	5
61	4	99	25	6
62	4	93	24	8
63	4	87	22	7
64	4	87	26	9
65	4	93	26	9
66	4	102	26	8
67	4	87	24	8
68	4	105	30	8
69	4	96	19	5
70	4	87	24	8
71	4	102	29	6
72	4	93	28	10
73	4	87	26	9
74	4	105	31	8
75	4	99	27	6
76	4	102	25	8
77	4	102	29	8
78	4	96	21	6
79	4	105	31	7
80	4	102	21	6
81	4	96	23	6
82	4	102	32	6
83	4	93	32	12
84	4	102	23	7
85	4	87	26	9
86	4	102	33	8
87	4	102	21	6
88	4	93	24	8
89	4	105	32	9
90	4	87	24	8
91	4	102	28	8
92	4	105	33	8
93	4	96	22	5
94	4	87	24	8
95	4	105	33	8
96	4	99	29	7
97	4	96	23	5
98	4	87	26	9
99	4	93	24	8
100	4	105	31	8
101	4	105	35	10
102	4	96	24	6
103	4	87	26	9
104	4	96	22	6
105	4	105	33	9
106	4	96	21	6
107	4	96	22	6
108	4	96	19	5
109	4	99	29	7
110	4	93	30	11
111	4	93	26	9
112	4	96	19	5
113	4	93	26	9
114	4	105	27	8
115	4	99	30	8
116	4	87	24	8
117	4	105	36	10
118	4	93	26	9
119	4	93	26	9
120	4	96	22	6
121	4	99	30	8
122	4	93	28	10
123	4	99	27	6
124	4	87	24	8
125	4	87	26	9
126	4	96	24	8
127	4	99	28	8
128	4	96	19	5
129	4	99	31	7
130	4	102	28	8
131	4	99	27	7
132	4	93	28	10
133	4	102	28	8
134	4	99	29	8
135	4	99	22	6
136	4	99	30	8
137	4	102	25	6
138	4	93	26	9
139	4	102	22	7
140	4	87	24	8
141	4	105	25	7
142	4	93	26	9
143	4	102	23	7
144	4	93	24	8
145	4	105	28	9
146	4	102	32	6
147	4	96	20	6
148	4	96	19	5
149	4	96	26	7
150	4	102	30	9
151	4	105	32	10
152	4	105	32	10
153	4	96	24	5
154	4	102	24	7
155	4	87	26	9
156	4	99	28	7
157	4	102	25	8
158	4	93	28	10
159	4	99	32	7
160	4	93	28	10
161	4	96	24	6
162	4	99	30	7
163	4	102	30	9
164	4	99	28	7
165	4	102	24	7
166	4	102	24	8
167	4	93	26	9
168	4	102	22	7
169	4	105	32	8
170	4	99	27	6
171	4	99	31	6
172	4	96	23	5
173	4	99	32	8
174	4	99	32	8
175	4	99	23	6
176	4	102	24	8
177	4	99	27	7
178	4	93	26	9
179	4	105	31	7
180	4	102	24	8
181	4	93	26	9
182	4	96	22	7
183	4	105	35	8
184	4	105	32	8
185	4	108	35	8
186	4	96	23	6
187	4	87	24	8
188	4	87	26	9
189	4	102	23	6
190	4	93	26	9
191	4	87	24	8
192	4	87	24	8
193	4	105	33	8
194	4	87	26	9
195	4	93	26	9
196	4	96	21	6
197	4	93	24	8
198	4	93	28	10
199	4	96	19	5
200	4	87	24	8
201	4	99	27	7
202	4	87	24	8
203	4	96	25	7
204	4	93	30	11
205	4	105	35	9
206	4	105	31	9
207	4	102	26	9
208	4	105	32	8
209	4	105	32	9
210	4	102	21	6
211	4	102	23	7
212	4	96	24	8
213	4	96	21	6
214	4	87	28	10
215	4	105	33	9
216	4	93	32	12
217	4	105	23	6
218	4	99	27	7
219	4	93	26	9
220	4	99	28	7
221	4	96	22	7
