shard	file	docs	tokens	supervised	stage	sha256
0	shard_00000.bin	20000	11556785	11536785	mixed	1b8b911e9a2a07057617538308ca3cb0d1a1fb75183ff9fb76f329fbad2e698c
1	shard_00001.bin	20000	11677928	11657928	mixed	76bf14516bf41b3d877a454a3c2ab1cc20491cd301ea7ab2fbf87614858f73e2
2	shard_00002.bin	20000	11457262	11437262	mixed	fe5f5745856dcfb7b064666c641b1c952bb9581a9ab3095142961ade4c1e7eec
3	shard_00003.bin	20000	11532954	11512954	mixed	7c2f29602561ff8d85ddf2bde4b6b5c19fd93b8c154a804c5a1440a4ce557e9c
4	shard_00004.bin	20000	11650261	11630261	mixed	b9821ff11938d50ab5351eb2d3545d2c72f7b0a81a834dd31fd49f6b8b2293d7
5	shard_00005.bin	20000	11462272	11442272	mixed	a2c786df0597696c1144a5d5edbbaad9db8826646f148e9dec1798a15bcbb7f1
6	shard_00006.bin	20000	11596962	11576962	mixed	0825bda7ceeb07def286b8074b58b972f4a6e1316d6e55df4fac22307af1e779
7	shard_00007.bin	20000	11648676	11628676	mixed	eda1d8cdedcedab101e014c7447b24ef5044ee8dd3da89fd247d6b7f44701476
8	shard_00008.bin	20000	11681336	11661336	mixed	36f42cca7c4842536e77fbdacfa68632da6aa255c9ac626daba95e1c2383b810
9	shard_00009.bin	20000	11569690	11549690	mixed	8053c4e18a22e4d9e754779789cc941095b8c0712dd7a1d06908e7e5e224354a
10	shard_00010.bin	20000	11433771	11413771	mixed	a90f492d98e533662f02060e2ce951c1f28ab82c28f55e2b74ee7b2ae2f579ec
11	shard_00011.bin	20000	11767413	11747413	mixed	0dd78bbfe42656af447441d8cc29f330c777da950ced363e4c1d4f8733e77b3d
12	shard_00012.bin	14107	8056037	8041930	mixed	a9423179cd046a3728dabec2853ba7aeb1fd06097d7b77afe7ba85d27ca26d96
