doc_id	turns	utf8_bytes	tokens	supervised
0	2	156	21	8
1	2	42	15	4
2	6	126	30	10
3	4	171	27	12
4	4	171	24	10
5	2	192	21	8
6	2	57	17	6
7	2	102	16	6
8	4	132	24	7
9	4	132	24	7
10	2	75	17	6
11	2	198	25	10
12	2	18	12	3
13	2	99	15	5
14	2	65	13	3
15	4	60	18	5
16	2	19	13	3
17	2	40	13	3
18	2	66	11	3
19	2	26	12	3
20	4	126	23	9
21	2	33	7	2
22	2	168	21	8
23	2	93	13	4
24	2	65	13	3
25	2	51	12	4
26	2	138	19	7
27	2	15	13	3
28	2	24	14	4
29	2	39	13	3
30	4	96	20	5
31	2	120	15	5
32	4	168	25	10
33	2	93	17	6
34	2	105	17	6
35	2	174	21	8
36	2	41	14	4
37	2	186	21	8
38	2	186	23	9
39	2	87	11	3
40	4	99	19	4
41	2	120	13	4
42	2	102	13	4
43	2	186	21	8
44	6	126	26	8
45	4	126	23	9
46	4	159	28	12
47	2	63	19	7
48	4	132	24	7
49	4	132	25	9
50	2	111	17	6
51	4	135	24	11
52	4	171	24	10
53	2	18	15	4
54	2	180	25	10
55	2	19	12	3
56	2	84	13	4
57	4	99	21	6
58	6	120	25	7
59	4	168	28	12
60	4	141	23	10
61	2	120	21	8
62	2	22	13	3
63	2	51	12	4
64	2	21	12	3
65	4	60	18	5
66	2	18	12	3
67	2	105	18	7
68	2	17	14	4
69	2	84	13	4
70	2	21	11	3
71	4	159	25	10
72	2	21	10	2
73	2	30	7	2
74	2	39	13	3
75	4	135	23	10
76	2	84	15	5
77	2	84	11	3
78	2	66	14	3
79	4	96	20	5
80	4	159	28	12
81	2	147	19	7
82	2	42	15	4
83	2	168	19	7
84	2	75	15	5
85	2	19	10	2
86	4	153	27	12
87	2	14	12	3
88	2	66	12	3
89	2	153	20	7
90	4	96	22	6
91	2	150	19	7
92	4	120	21	10
93	2	78	13	4
94	2	99	27	11
95	4	135	23	11
96	2	18	11	3
97	2	65	13	3
98	2	39	13	3
99	2	66	10	4
100	4	135	23	10
101	2	144	17	6
102	2	57	8	2
103	4	93	20	4
104	2	120	13	4
105	2	168	21	8
106	4	135	24	12
107	2	16	14	3
108	2	87	19	7
109	2	15	13	3
110	2	23	11	3
111	2	14	12	3
112	4	171	24	10
113	2	129	19	7
114	4	102	19	5
115	4	171	27	12
116	4	96	22	7
117	4	126	25	7
118	4	138	24	8
119	4	126	24	8
120	2	40	13	3
121	2	102	15	5
122	2	19	12	3
123	2	40	13	3
124	2	93	16	6
125	6	132	25	7
126	2	14	12	3
127	2	78	15	5
128	2	87	14	5
129	2	90	13	4
130	2	40	14	3
131	4	63	17	5
132	6	126	26	8
133	2	105	15	5
134	4	60	18	5
135	2	168	23	9
136	2	40	13	3
137	2	138	17	6
138	4	132	24	7
139	2	16	14	3
140	4	96	20	5
141	2	69	15	5
142	2	65	13	3
143	4	162	27	12
144	2	69	13	4
145	2	186	25	10
146	4	132	24	7
147	6	120	28	9
148	2	19	12	3
149	2	93	21	8
150	4	138	24	7
151	6	120	29	10
152	2	87	17	6
153	2	16	13	3
154	2	144	19	7
155	2	102	13	4
156	2	120	15	5
157	2	22	13	3
158	4	141	24	11
159	4	171	24	10
160	4	135	24	11
161	2	24	14	4
162	2	21	12	3
163	2	84	13	4
164	2	16	13	3
165	2	39	13	3
166	2	22	13	3
167	2	69	16	6
168	2	150	19	7
169	4	126	21	10
170	2	18	12	3
171	2	69	12	4
172	2	16	13	3
173	2	33	7	2
174	2	99	18	7
175	2	69	14	4
176	2	174	24	9
177	2	75	13	4
178	2	66	12	3
179	2	102	17	6
180	2	57	23	9
181	2	19	12	3
182	2	15	13	3
183	4	135	23	10
184	4	126	24	7
185	4	126	21	10
186	4	162	24	10
187	2	75	21	8
188	4	159	25	10
189	2	75	15	5
190	6	126	28	9
191	4	60	18	5
192	2	63	15	5
193	4	93	21	6
194	2	65	13	3
195	4	120	22	9
196	2	22	12	3
197	2	87	17	6
198	2	102	17	6
199	2	73	19	7
200	4	162	24	10
201	2	15	13	3
202	2	105	17	6
203	4	126	22	7
204	2	33	9	4
205	2	39	13	3
206	2	15	13	3
207	2	42	15	4
208	2	93	21	8
209	6	120	28	9
210	2	75	19	7
211	2	19	13	3
212	2	42	15	4
213	2	18	12	3
214	4	126	21	10
215	2	162	21	8
216	4	132	24	7
217	4	96	19	4
218	2	66	13	4
219	2	60	13	4
220	2	66	10	2
221	4	168	28	12
222	2	51	11	3
223	2	138	15	5
224	6	120	26	8
225	2	120	15	5
226	2	19	10	2
227	2	21	12	3
228	4	126	22	11
229	2	96	15	5
230	2	87	11	3
231	2	65	13	3
232	2	108	19	7
233	2	66	13	4
234	2	192	21	8
235	2	57	10	3
236	2	16	10	2
237	2	26	12	3
238	2	162	23	9
239	4	153	27	12
240	4	132	21	9
241	4	159	28	12
242	2	84	11	3
243	4	141	22	10
244	2	147	19	7
245	2	20	13	4
246	2	102	13	4
247	4	141	23	10
248	2	39	13	4
249	2	73	17	6
250	2	63	11	2
251	2	117	19	7
252	2	40	13	3
253	2	96	15	5
254	4	102	19	4
255	2	69	13	4
256	2	18	15	4
257	2	51	8	2
258	2	84	13	4
259	2	40	14	3
260	2	66	13	4
261	4	99	19	5
262	4	171	27	12
263	2	93	16	6
264	2	144	21	8
265	2	21	14	4
266	4	126	23	7
267	4	102	21	6
268	4	132	22	10
269	4	132	22	7
270	4	129	25	10
271	2	39	12	3
272	2	40	13	3
273	4	171	24	10
274	2	22	13	3
275	2	40	13	3
276	2	138	15	5
277	2	105	19	7
278	2	129	19	7
279	2	20	10	2
280	2	22	12	3
281	2	19	12	3
282	2	18	12	3
283	4	132	25	8
284	4	132	24	7
285	4	96	20	6
286	2	39	12	3
287	4	171	24	10
288	2	81	15	5
289	4	180	24	10
290	4	96	21	6
291	6	114	29	10
292	2	180	25	10
293	2	22	13	3
294	2	63	27	11
295	2	15	13	3
296	4	171	24	10
297	2	39	13	3
298	2	21	11	3
299	2	65	13	3
300	4	96	21	4
301	4	126	24	7
302	2	22	13	3
303	2	18	15	4
304	6	132	27	8
305	4	132	25	8
306	2	84	13	4
307	2	99	19	7
308	2	120	17	6
309	4	141	22	10
310	2	93	17	6
311	2	81	14	4
312	2	81	19	7
313	2	51	15	5
314	2	132	17	6
315	4	168	28	12
316	2	150	19	7
317	2	87	19	7
318	4	126	23	8
319	2	84	15	5
320	2	57	10	3
321	2	87	18	6
322	2	14	12	3
323	4	126	21	9
324	2	40	14	3
325	4	96	21	6
326	2	75	19	7
327	2	66	14	3
328	4	129	21	9
329	2	168	21	8
330	4	168	28	12
331	2	66	12	3
332	4	132	21	10
333	2	105	16	5
334	2	57	19	7
335	2	38	11	2
336	2	120	15	5
337	4	135	24	11
338	2	186	25	10
339	4	132	21	9
340	4	63	17	5
341	4	126	24	7
342	2	37	11	2
343	2	36	7	2
344	2	19	13	3
345	2	180	21	8
346	2	75	21	8
347	2	63	14	4
348	2	65	13	3
349	2	42	15	4
350	2	114	17	6
351	4	132	22	7
352	4	126	24	8
353	2	18	12	3
354	2	105	17	6
355	2	22	13	3
356	4	126	24	8
357	4	141	24	11
358	2	93	16	5
359	2	18	15	4
360	4	126	25	8
361	2	75	17	6
362	4	126	22	8
363	4	120	24	7
364	2	51	10	3
365	4	159	25	10
366	4	132	23	8
367	4	135	24	11
368	2	162	21	8
369	2	102	15	5
370	2	84	13	4
371	2	21	12	3
372	4	132	26	8
373	2	19	13	3
374	2	40	13	3
375	4	132	21	10
376	4	126	21	9
377	2	66	13	4
378	4	132	21	9
379	2	18	12	3
380	2	75	17	6
381	2	21	14	4
382	2	19	10	2
383	2	18	15	4
384	4	162	27	12
385	2	66	11	3
386	2	45	12	4
387	2	102	17	6
388	4	141	24	12
389	2	65	13	3
390	2	18	11	3
391	2	75	19	7
392	2	15	13	3
393	4	132	26	8
394	2	120	16	6
395	2	123	21	8
396	4	153	24	10
397	2	69	17	6
398	2	63	16	5
399	2	41	14	4
400	4	126	22	7
401	2	41	14	4
402	2	81	15	5
403	2	192	23	9
404	4	135	24	11
405	2	21	12	3
406	4	63	17	5
407	4	132	22	10
408	2	39	13	3
409	4	126	22	7
410	2	40	14	3
411	2	42	15	4
412	2	21	12	3
413	2	19	12	3
414	2	111	19	7
415	2	108	15	5
416	2	81	18	7
417	2	96	15	5
418	2	23	13	4
419	2	21	12	3
420	2	21	14	4
421	2	40	13	3
422	4	168	28	12
423	4	135	24	11
424	2	96	13	4
425	2	117	17	6
426	4	162	24	10
427	2	42	15	4
428	2	69	14	5
429	2	16	14	3
430	2	156	22	9
431	4	132	21	10
432	4	132	24	7
433	4	63	17	5
434	2	198	23	9
435	2	14	12	3
436	4	171	24	10
437	2	36	7	2
438	2	132	19	7
439	2	132	15	5
440	2	99	19	7
441	4	126	22	7
442	4	96	20	4
443	4	132	22	7
444	4	171	27	12
445	2	20	10	2
446	2	21	12	3
447	4	96	19	5
448	2	81	15	5
449	2	19	12	3
450	2	16	13	3
451	4	159	25	10
452	2	75	13	4
453	4	60	18	5
454	4	126	22	10
455	2	84	13	4
456	6	114	27	8
457	2	147	21	8
458	2	99	16	6
459	2	168	23	9
460	2	40	14	3
461	4	132	23	8
462	2	21	12	3
463	2	186	23	9
464	2	24	14	4
465	2	17	14	4
466	2	120	15	5
467	6	120	27	9
468	2	24	14	4
469	2	81	17	6
470	4	168	25	10
471	2	99	13	4
472	4	120	21	10
473	4	171	24	10
474	4	102	19	5
475	4	159	28	12
476	2	162	21	8
477	2	16	13	3
478	2	73	17	6
479	2	75	17	6
480	4	141	24	11
481	2	96	13	4
482	4	177	28	12
483	2	180	23	9
484	4	102	19	5
485	4	93	20	4
486	2	51	13	4
487	4	99	21	5
488	2	21	14	4
489	2	105	20	8
490	2	21	12	3
491	2	21	12	3
492	4	93	23	7
493	6	126	26	8
494	2	174	19	7
495	4	126	21	9
496	4	135	24	11
497	2	75	19	7
498	4	135	22	10
499	2	24	14	4
500	4	126	22	8
501	2	21	12	3
502	2	45	13	4
503	4	159	25	10
504	2	51	10	3
505	2	168	19	7
506	4	132	24	7
507	2	69	12	4
508	2	40	13	3
509	2	40	13	3
510	2	114	15	5
511	4	132	22	7
512	4	132	24	7
513	4	168	25	10
514	4	177	28	12
515	4	159	28	12
516	6	120	25	7
517	4	126	22	7
518	4	102	21	6
519	2	138	19	7
520	2	114	19	7
521	4	126	24	8
522	2	75	13	4
523	2	93	21	8
524	2	21	12	3
525	2	15	13	3
526	2	81	16	5
527	4	126	23	7
528	4	162	27	12
529	2	40	13	3
530	2	15	13	3
531	2	114	17	6
532	2	180	21	8
533	2	63	23	9
534	6	126	28	9
535	4	159	28	12
536	2	84	13	4
537	2	18	12	3
538	4	63	19	7
539	2	84	13	4
540	2	16	13	3
541	4	126	21	9
542	6	120	27	9
543	4	126	22	8
544	2	16	14	3
545	2	84	11	3
546	2	93	15	5
547	2	99	15	5
548	4	126	21	10
549	2	69	15	5
550	2	132	15	5
551	2	105	19	7
552	2	15	13	3
553	4	162	27	12
554	6	120	28	9
555	2	81	15	5
556	2	81	18	6
557	4	171	24	10
558	2	17	11	3
559	4	132	23	9
560	4	171	27	12
561	2	45	12	3
562	4	141	23	11
563	2	138	20	7
564	2	84	11	3
565	4	96	19	4
566	2	66	13	4
567	4	93	22	6
568	4	141	23	11
569	2	123	21	8
570	2	39	13	3
571	2	39	13	3
572	2	81	15	5
573	2	186	23	9
574	4	102	21	6
575	4	159	25	10
576	4	162	27	12
577	2	84	11	3
578	2	18	15	4
579	2	63	12	4
580	2	17	11	3
581	2	120	15	5
582	2	81	13	4
583	4	126	24	8
584	4	177	25	10
585	2	16	13	3
586	2	87	15	5
587	4	159	25	10
588	4	162	24	10
589	2	81	13	4
590	2	66	14	3
591	4	120	24	7
592	2	40	13	3
593	4	96	22	6
594	2	114	17	6
595	4	93	20	5
596	2	81	15	5
597	4	126	22	7
598	2	18	12	3
599	2	153	20	7
600	4	162	24	10
601	2	69	13	4
602	2	41	14	4
603	2	40	13	3
604	2	57	8	2
605	2	66	13	4
606	2	23	11	3
607	4	126	22	7
608	2	42	15	4
609	6	126	26	8
610	4	132	22	8
611	4	93	19	4
612	2	38	12	3
613	2	45	14	4
614	2	18	12	3
615	4	132	21	10
616	4	171	24	10
617	4	126	25	7
618	2	14	12	3
619	2	40	14	3
620	4	96	21	6
621	2	81	25	10
622	2	117	21	8
623	2	51	8	2
624	4	159	25	10
625	2	144	21	8
626	4	102	20	4
627	4	141	25	10
628	2	17	14	4
629	4	153	24	10
630	2	156	19	7
631	2	37	11	2
632	2	22	12	3
633	2	24	14	4
634	2	16	13	3
635	2	66	14	3
636	2	99	19	7
637	2	26	12	3
638	4	126	22	7
639	2	120	19	7
640	2	138	19	7
641	2	19	12	3
642	2	40	13	3
643	4	126	21	9
644	2	39	13	3
645	4	60	18	5
646	2	132	19	7
647	2	192	27	11
648	2	69	12	4
649	4	126	22	11
650	2	22	13	3
651	4	132	24	7
652	2	30	7	2
653	2	40	14	3
654	2	16	13	3
655	2	21	12	3
656	2	22	12	3
657	2	162	23	9
658	4	126	24	7
659	2	69	17	6
660	2	16	10	2
661	4	102	19	5
662	2	22	12	3
663	2	174	20	8
664	4	159	28	12
665	4	126	24	8
666	4	135	21	9
667	4	159	25	10
668	2	63	23	9
669	4	135	23	10
670	4	162	24	10
671	2	174	21	8
672	4	171	24	10
673	2	138	19	7
674	2	42	15	4
675	2	65	13	3
676	4	171	24	10
677	4	126	22	7
678	2	17	11	3
679	2	15	13	3
680	2	16	13	3
681	2	22	13	3
682	2	117	19	7
683	2	168	21	8
684	4	129	22	10
685	4	147	23	11
686	2	23	13	4
687	4	135	23	11
688	4	135	23	11
689	2	42	15	4
690	2	19	13	3
691	4	126	21	10
692	4	159	28	12
693	2	102	15	5
694	4	132	21	9
695	2	174	19	7
696	2	87	16	5
697	2	120	15	5
698	2	65	13	3
699	2	40	14	3
700	4	141	24	12
701	2	22	12	3
702	2	51	8	2
703	6	120	27	8
704	2	102	13	4
705	4	126	22	10
706	2	93	19	7
707	2	18	11	3
708	2	153	19	7
709	2	75	21	8
710	2	21	12	3
711	2	13	11	2
712	4	171	24	10
713	4	132	21	9
714	4	132	21	9
715	4	159	25	10
716	4	150	25	10
717	4	126	21	9
718	2	114	17	6
719	2	38	11	2
720	4	63	17	5
721	2	87	15	5
722	2	162	21	8
723	4	132	24	8
724	2	81	17	6
725	2	75	19	7
726	2	156	21	8
727	2	99	18	7
728	4	126	21	10
729	4	132	25	8
730	4	141	24	12
731	4	126	24	8
732	2	19	13	3
733	2	20	11	3
734	2	186	26	10
735	2	75	23	9
736	2	84	11	3
737	2	69	14	5
738	2	102	17	6
739	2	21	10	2
740	4	126	21	9
741	2	156	22	8
742	4	132	25	9
743	4	96	21	6
744	4	132	22	8
745	2	65	13	3
746	4	141	24	11
747	2	19	10	2
748	2	156	21	8
749	4	87	19	4
750	4	96	20	5
751	6	120	29	10
752	2	120	18	7
753	2	162	17	6
754	2	81	13	4
755	2	102	15	5
756	4	126	21	9
