shard	file	docs	tokens	supervised	stage	sha256
0	shard_00000.bin	20000	14245386	14225386	mixed	3e55bc1b3fad04eef916f0da708e7c9287eea73c0d2255053d0217bf2c5c09ac
1	shard_00001.bin	20000	14371447	14351447	mixed	98796b029d3063098cf5403bcd9f1980a4d6565e99da8750a59ecb558a1ab9e0
2	shard_00002.bin	20000	14099942	14079942	mixed	bf0eeb1922b5e1063791cc80ea0db7a2d68529f73f3f450b4dd2ff943ceb6a97
3	shard_00003.bin	20000	14191426	14171426	mixed	0dadc69409deeee8110faac02a8dc1561e1a6a2938ec5abd58115f1c6d3cd01b
4	shard_00004.bin	20000	14335823	14315823	mixed	a5b69fce6eb9def86cd8ff8358de617371d560c0510ceaa09a716908c51770ba
5	shard_00005.bin	20000	14104382	14084382	mixed	b89beb78924092c2ad4bb78b1c14ce351c0d2c7f10ef1fad9386aae07a535905
6	shard_00006.bin	20000	14271713	14251713	mixed	d7ea4dca9a85932c223b0edba47a7035966c4af569ff2c32eabd7eed733dc54e
7	shard_00007.bin	20000	14332102	14312102	mixed	e88f87c0a5ff4aed8377ddb4ecb85206c56360b14cb0d5e4fb82a27f85522dea
8	shard_00008.bin	20000	14375422	14355422	mixed	86ef2a4446e37e508c76b8858a7c0165e6ee40721ce2eac2010014b54cd85b81
9	shard_00009.bin	20000	14245576	14225576	mixed	c5bf53814201fea7a505ab1c57ccc3b41f17f09ca57f074eba119fac95600758
10	shard_00010.bin	20000	14071422	14051422	mixed	0232db6603e8b1d70c045b41dc68f6822859f48f1edb49384824616ddf04e7e3
11	shard_00011.bin	20000	14491535	14471535	mixed	81e675375ec7dfe569198ed2b3a5dc3516206dbfa9095ce0796df55694fe4fd0
12	shard_00012.bin	14107	9924760	9910653	mixed	911e23f474ac0672dd08a25f9a882400ad867059e97c1baea5726b0a528775a7
